GeoFips,CL_UNIT,Code,DataValue,TimePeriod,lat,lng
10420,USD,DIR_MI,3737886000,2010,41.081444700000006,-81.51900529999998
10420,USD,PCTR_MI,783857000,2000,41.081444700000006,-81.51900529999998
10420,USD,PCTR_MI,931134000,2005,41.081444700000006,-81.51900529999998
10420,USD,PCTR_MI,1035870000,2010,41.081444700000006,-81.51900529999998
10420,USD,WS_MI,10896407000,2000,41.081444700000006,-81.51900529999998
10420,USD,WS_MI,12938301000,2005,41.081444700000006,-81.51900529999998
10420,USD,WS_MI,13626889000,2010,41.081444700000006,-81.51900529999998
10420,USD,SUPP_MI,2455225000,2000,41.081444700000006,-81.51900529999998
10420,USD,SUPP_MI,3212529000,2005,41.081444700000006,-81.51900529999998
10420,USD,SUPP_MI,3581461000,2010,41.081444700000006,-81.51900529999998
10420,USD,PROP_MI,1187083000,2000,41.081444700000006,-81.51900529999998
10420,USD,PROP_MI,1204359000,2005,41.081444700000006,-81.51900529999998
10420,USD,PROP_MI,1633777000,2010,41.081444700000006,-81.51900529999998
10500,PERS,POP_MI,157610,2000,31.578507399999996,-84.15574099999998
10500,PERS,POP_MI,156886,2005,31.578507399999996,-84.15574099999998
10500,PERS,POP_MI,157580,2010,31.578507399999996,-84.15574099999998
10500,USD,GDP_MP,4800000000,2005,31.578507399999996,-84.15574099999998
10500,USD,GDP_MP,4928000000,2010,31.578507399999996,-84.15574099999998
10500,USD,RGDP_MP,5400000000,2005,31.578507399999996,-84.15574099999998
10500,USD,RGDP_MP,4868000000,2010,31.578507399999996,-84.15574099999998
10500,USD,PCRGDP_MP,34423000000,2005,31.578507399999996,-84.15574099999998
10500,USD,PCRGDP_MP,30892000000,2010,31.578507399999996,-84.15574099999998
10500,USD,TPI_MI,3527098000,2000,31.578507399999996,-84.15574099999998
10500,USD,TPI_MI,4251080000,2005,31.578507399999996,-84.15574099999998
10500,USD,TPI_MI,4798645000,2010,31.578507399999996,-84.15574099999998
10500,USD,PCPI_MI,22379,2000,31.578507399999996,-84.15574099999998
10500,USD,PCPI_MI,27097,2005,31.578507399999996,-84.15574099999998
10500,USD,PCPI_MI,30452,2010,31.578507399999996,-84.15574099999998
10500,USD,DIR_MI,603745000,2000,31.578507399999996,-84.15574099999998
10500,USD,DIR_MI,674185000,2005,31.578507399999996,-84.15574099999998
10500,USD,DIR_MI,777507000,2010,31.578507399999996,-84.15574099999998
10500,USD,PCTR_MI,138406000,2000,31.578507399999996,-84.15574099999998
10500,USD,PCTR_MI,168456000,2005,31.578507399999996,-84.15574099999998
10500,USD,PCTR_MI,188876000,2010,31.578507399999996,-84.15574099999998
10500,USD,WS_MI,1926339000,2000,31.578507399999996,-84.15574099999998
10500,USD,WS_MI,2226566000,2005,31.578507399999996,-84.15574099999998
10500,USD,WS_MI,2364038000,2010,31.578507399999996,-84.15574099999998
10500,USD,SUPP_MI,429330000,2000,31.578507399999996,-84.15574099999998
10500,USD,SUPP_MI,545492000,2005,31.578507399999996,-84.15574099999998
10500,USD,SUPP_MI,615745000,2010,31.578507399999996,-84.15574099999998
10500,USD,PROP_MI,308859000,2000,31.578507399999996,-84.15574099999998
10500,USD,PROP_MI,397317000,2005,31.578507399999996,-84.15574099999998
10500,USD,PROP_MI,279657000,2010,31.578507399999996,-84.15574099999998
10540,PERS,POP_MI,103020,2000,44.6365107,-123.10592820000001
10540,PERS,POP_MI,108132,2005,44.6365107,-123.10592820000001
10540,PERS,POP_MI,116894,2010,44.6365107,-123.10592820000001
10540,USD,GDP_MP,2944000000,2005,44.6365107,-123.10592820000001
10540,USD,GDP_MP,3050000000,2010,44.6365107,-123.10592820000001
10540,USD,RGDP_MP,3155000000,2005,44.6365107,-123.10592820000001
10540,USD,RGDP_MP,2974000000,2010,44.6365107,-123.10592820000001
10540,USD,PCRGDP_MP,29177000000,2005,44.6365107,-123.10592820000001
10540,USD,PCRGDP_MP,25441000000,2010,44.6365107,-123.10592820000001
10540,USD,TPI_MI,2412870000,2000,44.6365107,-123.10592820000001
10540,USD,TPI_MI,2871624000,2005,44.6365107,-123.10592820000001
10540,USD,TPI_MI,3395713000,2010,44.6365107,-123.10592820000001
10540,USD,PCPI_MI,23421,2000,44.6365107,-123.10592820000001
10540,USD,PCPI_MI,26557,2005,44.6365107,-123.10592820000001
10540,USD,PCPI_MI,29050,2010,44.6365107,-123.10592820000001
10540,USD,DIR_MI,428382000,2000,44.6365107,-123.10592820000001
10540,USD,DIR_MI,459939000,2005,44.6365107,-123.10592820000001
10540,USD,DIR_MI,577932000,2010,44.6365107,-123.10592820000001
10540,USD,PCTR_MI,99920000,2000,44.6365107,-123.10592820000001
10540,USD,PCTR_MI,122560000,2005,44.6365107,-123.10592820000001
10540,USD,PCTR_MI,138290000,2010,44.6365107,-123.10592820000001
10540,USD,WS_MI,1241330000,2000,44.6365107,-123.10592820000001
10540,USD,WS_MI,1432564000,2005,44.6365107,-123.10592820000001
10540,USD,WS_MI,1519165000,2010,44.6365107,-123.10592820000001
10540,USD,SUPP_MI,329706000,2000,44.6365107,-123.10592820000001
10540,USD,SUPP_MI,377998000,2005,44.6365107,-123.10592820000001
10540,USD,SUPP_MI,404848000,2010,44.6365107,-123.10592820000001
10540,USD,PROP_MI,150321000,2000,44.6365107,-123.10592820000001
10540,USD,PROP_MI,204058000,2005,44.6365107,-123.10592820000001
10540,USD,PROP_MI,138798000,2010,44.6365107,-123.10592820000001
10580,PERS,POP_MI,827399,2000,42.7918028,-73.87327140000001
