,lat,lng,GeoFips
158,29.5957696,-90.71953479999999,26380
159,29.7601927,-95.36938959999999,26420
160,40.8681539,-73.425676,26580
161,34.7303688,-86.5861037,26620
162,43.49165139999999,-112.0339645,26820
163,39.768403,-86.158068,26900
164,41.6611277,-91.5301683,26980
165,42.4439614,-76.5018807,27060
166,42.245869,-84.40134619999999,27100
167,32.2987573,-90.1848103,27140
168,35.6145169,-88.81394689999999,27180
169,30.3321838,-81.65565099999999,27260
170,34.7540524,-77.4302414,27340
171,42.6827885,-89.0187222,27500
172,38.57670170000001,-92.1735164,27620
173,36.3134397,-82.3534727,27740
174,40.32674069999999,-78.9219698,27780
175,35.84229670000001,-90.704279,27860
176,37.08422710000001,-94.51328099999999,27900
177,20.8893351,-156.4729469,27980
178,42.2011538,-85.5800022,28020
179,41.1200325,-87.8611531,28100
180,39.0997265,-94.5785667,28140
181,46.2112458,-119.1372338,28420
182,31.1171194,-97.72779589999999,28660
183,36.548434,-82.5618186,28700
184,41.9270367,-73.9973608,28740
185,35.9606384,-83.9207392,28940
186,40.486427,-86.13360329999999,29020
187,43.8844092,-91.23513930000001,29100
188,30.2240897,-92.0198427,29180
189,30.2240897,-92.0198427,29200
190,30.2265949,-93.2173758,29340
191,34.483901,-114.3224548,29420
192,28.0394654,-81.9498042,29460
193,40.0378755,-76.3055144,29540
194,42.732535,-84.5555347,29620
195,27.5305671,-99.48032409999999,29700
196,32.3199396,-106.7636538,29740
197,36.1699412,-115.1398296,29820
198,38.9716689,-95.2352501,29940
199,34.6035669,-98.39592909999999,30020
200,40.3409251,-76.4113497,30140
201,46.4004089,-117.0011889,30300
202,44.100351,-70.21477639999999,30340
203,38.0405837,-84.5037164,30460
204,40.742551,-84.1052256,30620
205,40.809722,-96.67527799999999,30700
206,34.7464809,-92.28959479999999,30780
207,41.7369803,-111.8338359,30860
208,32.5007037,-94.74048909999999,30980
209,46.1381676,-122.9381672,31020
210,33.7700504,-118.1937395,31080
211,38.2526647,-85.7584557,31140
212,33.5778631,-101.8551665,31180
213,37.4137536,-79.14224639999999,31340
214,32.8406946,-83.6324022,31420
215,36.9613356,-120.0607176,31460
216,43.0730517,-89.4012302,31540
217,42.77995,-71.4771848,31700
218,39.18360819999999,-96.57166939999999,31740
219,44.1635775,-93.99939959999999,31860
220,40.75839,-82.5154471,31900
221,26.2034071,-98.23001239999999,32580
222,42.3265152,-122.8755949,32780
223,35.1495343,-90.0489801,32820
224,37.3021632,-120.4829677,32900
225,25.7890972,-80.2040435,33100
226,41.70753939999999,-86.8950297,33140
227,43.6155825,-84.2472116,33220
228,31.9973456,-102.0779146,33260
229,43.0389025,-87.9064736,33340
230,44.983334,-93.26666999999999,33460
231,46.8625,-114.011667,33540
